"大林組のオランウータンが出てくるcm
森との共生はどうやったらと展示されてるオランウータンに訊く
",irony_situation,irony_situation,,1
純が恋愛脳なのは結局血には抗えない,irony_situation,irony_situation,,1
"ラストは勝利。
味方で過去にブロックしたのがいて明らかに俺に不満あるんだろうなぁと編成時の行動から思ったけど、どうせファンメ飛ばされても分からないし気にせずやってみた。一番上手く自分と連携取れたのがそいつだった",irony_situation,irony_situation,,1
"もう3年前に商品なので完売してしまいましたが
ご希望があれば『Third Eye』Tシャツ作ろうかな

頭が危篤な人しか着ないTシャツ
陰謀論の『ナントカの目』にみえるよねw

ジャケの意味はその反対で…アホは陰謀論信じる",irony_situation,irony_situation,,1
eさん自覚しつつ自虐ネタ出したけど、実際メンバーにヒットするのは本人無自覚ネタ,irony_situation,irony_situation,,1
"日本の少女まりえは…正直ささらなかった………………
あまりにもふかソのレベルが高すぎてな、あんなシングルおらんよ
むしろあそこまできれいにお膳立てしないと日本の人々にはこれについて理解ができないよな、",irony_situation,irony_situation,,1
仲がいいようで悪い銀刹と晴雪、ライバル視していた分銀刹が長に選ばれたことへの嫉妬をずっと引きずりつつ、かの事件を境に数年後息子である三白が長に選ばれた,irony_situation,irony_situation,,1
でもこれに当てはまる人って自分の文句が正しいと思ってるから聞こえない,irony_situation,irony_situation,,1
機関説十字軍,irony_situation,irony_situation,,1
"秋篠宮アゲと秋篠宮サゲ情報が交互に並んでて脳がバグる

私は男系天皇は揺るぎないと確信しているのでそもそも市井で論じる事自体論外なんだけれども

今上天皇御一家と、その内親王があまりにも見事なばかりに無用な衝突を招いてしまう",irony_situation,irony_situation,,1
"【50年ローン】

投資ローンならまだしも住宅ローン50年っていうのは、そもそも所得が低い南の島で普及したものだって思ってたけど、全国的に所得が低くなってしまったから全国に普及してしまった",irony_situation,irony_situation,,1
"以前から聞いてはいたが、改めて
ハローワーク職員自身、１年契約 で３年上限で一度失職ってどういうことですか。
そういう綱渡り状態だと求職者の気持ちがわかるだろう",irony_situation,irony_situation,,1
賞の名前はすごそうだけど、アホが世の中にアホDNAを残さずすんで、人類のよりよい進化に貢献してくれてありがとう,irony_situation,irony_situation,,1
"白饅頭日誌：6月13日「両極端な世界」｜白饅頭｜note
自由で開かれたインターネットがディストピアの一因になろうか",irony_situation,irony_situation,,1
"下書きに入ってたの放出します。

JJの配役ってどれも何かしら含みがあるけど、ミゲル(フミ)及び神父(介)は器用に立ち回りすぎる２人に対して「君らはこのくらい不器用に生きられたらラクなのにね」",irony_situation,irony_situation,,1
˙,irony_situation,natural_situation,,0
底辺を知らないとか言うけれども、だから底辺にいるんじゃないんでしょうか、,irony_situation,irony_situation,,1
"温泉むすめは日本の女性アイドルの在り方に対するだったのか。
(",irony_situation,irony_situation,,1
"#天地黎明 #映画 
英語会話は出来るが、
中国語会話はドモる出っ歯のソーと、
そのことを馬鹿にするのに、
中国語の文字も読めない",irony_situation,irony_situation,,1
まあFAの可能性もあるのに騒いでるバカいるなー,irony_situation,irony_situation,,1
5頭立て3連単全部買って、シャフリヤールが消し飛ぶのが1番おいしい,irony_situation,natural_situation,,0
「1000年に一度の地震と津波も想定して備えろ！」とか言ってたら戦争とか気象災害のほうが先に来てしまった,irony_situation,irony_situation,,1
そしてこの考察(と言うなの妄想)は当主であるサラが分解装置を作れなかった,irony_situation,irony_situation,,1
"アンデラ、ニコの妻のイチコが「不眠」の否定者でイチコはクマが凄かった。

そしてイチコが死んで「不忘」が発現してから記憶に押し潰されてイチコ同様にクマができた",irony_situation,irony_situation,,1
