真面目な人が馬鹿を見る##,irony_sentence,irony_sentence,1
軍楽,irony_sentence,irony_sentence,1
素晴らしいことです,irony_sentence,irony_sentence,1
感動した,irony_sentence,irony_sentence,1
感動してる,irony_sentence,irony_sentence,1
お前にピッタリだね,irony_sentence,irony_sentence,1
初見,irony_sentence,natutal_situation,0
それは良かった,irony_sentence,irony_sentence,1
のくない,irony_sentence,irony_sentence,1
とても温かい気持ちになるなど。,irony_sentence,irony_sentence,1
カクヨムコン8頑張りまぁ～す,irony_sentence,irony_sentence,1
仲良いな,irony_sentence,irony_sentence,1
凱旋だもんな,irony_sentence,irony_sentence,1
エラいエラい,irony_sentence,irony_sentence,1
正しい,irony_sentence,irony_sentence,1
ヒップホップの重低音カルチャーを通過してるか否か,irony_sentence,irony_sentence,1
笑ってられることには感謝しようかな,irony_sentence,irony_sentence,1
さすが小池,irony_sentence,irony_sentence,1
されてないと良いですね,irony_sentence,irony_sentence,1
そんなに多かったんだね,irony_sentence,irony_sentence,1
この事件の加害者、役満すぎて、こんな犯罪者が社会で生きていけてるんだって逆に感心する,irony_sentence,natutal_situation,0
相当なボリュームの声,irony_sentence,irony_sentence,1
アイドルみてえなことしてんな,irony_sentence,irony_sentence,1
真っ当なんだよなー,irony_sentence,irony_sentence,1
いいご身分だ,irony_sentence,irony_sentence,1
二の舞だぞ,irony_sentence,irony_sentence,1
架空のドラマ,irony_sentence,irony_sentence,1
発展途上国の話,irony_sentence,irony_sentence,1
悲しい,irony_sentence,irony_sentence,1
ありがとな、アンチ##,irony_sentence,irony_sentence,1
シーズンパス購入した価値,irony_sentence,irony_sentence,1
稼ぐ自信がお有りなんですね。,irony_sentence,irony_sentence,1
間違い,irony_sentence,irony_sentence,1
微笑ましいところはあります,irony_sentence,irony_sentence,1
たくさん飲めるんだから最高##ソジュは前哨戦みたいなもんでしょ,irony_sentence,irony_sentence,1
何食ったらそんなにデカくなるの？」,irony_sentence,irony_sentence,1
すごいです,irony_sentence,irony_sentence,1
珍しく仕事してる,irony_sentence,natutal_situation,0
まーた、日本政府みたいなことし始めたな。##追い討ちがすごいですね、##さすが政府！,irony_sentence,irony_sentence,1
きっと鼻歌まじりに歌ってるんだろうなぁ_##,irony_sentence,irony_sentence,1
お国なのでな,irony_sentence,irony_sentence,1
頑張ってください！応援しています！,irony_sentence,irony_sentence,1
母の教育の賜物,irony_sentence,irony_sentence,1
依頼主は大物だわｗ,irony_sentence,irony_sentence,1
普段の動きして 腰砕く〜,irony_sentence,irony_sentence,1
セレブリティ感溢れる彼らの無邪気さに惚れます。,irony_sentence,irony_sentence,1
長岡と三ツ俣以下だろ,irony_sentence,natutal_situation,0
なんか可愛い,irony_sentence,irony_sentence,1
某柚葉氏すげぇ,irony_sentence,irony_sentence,1
ビジターだからさ、、,irony_sentence,irony_sentence,1
おじちゃんですら気づいた,irony_sentence,natutal_situation,0
2年前か。,irony_sentence,natutal_situation,0
気分,irony_sentence,irony_sentence,1
悲しくないですけどね,irony_sentence,irony_sentence,1
花束くらい貰うんじゃね？,irony_sentence,irony_sentence,1
調査がお好きなのでしょう？,irony_sentence,irony_sentence,1
好きよ,irony_sentence,irony_sentence,1
キラキラ##最高,irony_sentence,irony_sentence,1
増税してほしくない,irony_sentence,irony_sentence,1
今夏の暑さ気持ち良すぎだろ,irony_sentence,irony_sentence,1
いつになったら,irony_sentence,irony_sentence,1
超楽しい,irony_sentence,irony_sentence,1
貰ったら良い,irony_sentence,irony_sentence,1
お元気そうで何より,irony_sentence,irony_sentence,1
気づいたのにねー,irony_sentence,irony_sentence,1
良いと思っていないので記述する,irony_sentence,irony_sentence,1
迎えられそうだぞ,irony_sentence,irony_sentence,1
羨ましい人生ですよ ##あなたな無欲なんですね,irony_sentence,irony_sentence,1
羨ましいわ,irony_sentence,irony_sentence,1
肥前くんの顔うつして、自己紹介かね？って言っててほしい,irony_sentence,irony_sentence,1
ホントお上の方々は、ちゃんと勉強して欲しい。,irony_sentence,irony_sentence,1
「日当」と「ビール」と「Tシャツ」は支給されないのか？,irony_sentence,natutal_situation,0
頑張って下さいね！,irony_sentence,irony_sentence,1
情報操作して自分達の都合のいいように子供を洗脳してくる奴がいるから気をつけようね,irony_sentence,irony_sentence,1
